dateCut,timeCut,joinpoint,count,retweets,fake_month,fake_hour
6,11,6 11,10,1040.8,6,11
6,12,6 12,22,1592.7272727272727,6,12
6,13,6 13,36,2181.6111111111113,6,13
6,14,6 14,41,1627.6829268292684,6,14
6,15,6 15,25,1801.92,6,15
6,16,6 16,35,1607.2,6,16
6,17,6 17,22,1718.5,6,17
6,18,6 18,22,2014.8181818181818,6,18
6,19,6 19,22,1529.6363636363637,6,19
6,20,6 20,20,2060.9,6,20
6,21,6 21,27,2018.0,6,21
6,22,6 22,34,1471.3529411764705,6,22
6,23,6 23,34,1634.9411764705883,6,23
6,24,6 24,35,2179.5714285714284,6,24
7,1,7 1,13,2244.230769230769,7,1
7,2,7 2,23,2027.8260869565217,7,2
7,3,7 3,23,2280.0,7,3
7,4,7 4,37,2176.2972972972975,7,4
7,5,7 5,25,1597.76,7,5
7,6,7 6,16,2343.0,7,6
7,7,7 7,4,2135.25,7,7
NA,NA,7 8,NA,NA,7,8
7,9,7 9,2,969.0,7,9
7,10,7 10,3,1034.6666666666667,7,10
7,11,7 11,1,699.0,7,11
7,12,7 12,26,1802.1538461538462,7,12
7,13,7 13,20,2234.45,7,13
7,14,7 14,43,2494.279069767442,7,14
7,15,7 15,39,2218.102564102564,7,15
7,16,7 16,28,2253.8214285714284,7,16
7,17,7 17,22,2006.6363636363637,7,17
7,18,7 18,16,2416.75,7,18
7,19,7 19,31,1839.5806451612902,7,19
7,20,7 20,26,2319.5384615384614,7,20
7,21,7 21,23,2224.782608695652,7,21
7,22,7 22,28,2130.714285714286,7,22
7,23,7 23,26,1916.5384615384614,7,23
7,24,7 24,32,1963.96875,7,24
8,1,8 1,16,3398.0,8,1
8,2,8 2,22,2305.0454545454545,8,2
8,3,8 3,26,3303.576923076923,8,3
8,4,8 4,22,3058.090909090909,8,4
8,5,8 5,11,3666.5454545454545,8,5
8,6,8 6,10,3035.3,8,6
8,7,8 7,18,2868.722222222222,8,7
8,8,8 8,3,1521.0,8,8
NA,NA,8 9,NA,NA,8,9
NA,NA,8 10,NA,NA,8,10
8,11,8 11,22,1726.909090909091,8,11
8,12,8 12,13,3031.923076923077,8,12
8,13,8 13,34,2673.4117647058824,8,13
8,14,8 14,24,2917.0833333333335,8,14
8,15,8 15,36,3811.222222222222,8,15
8,16,8 16,28,2754.8571428571427,8,16
8,17,8 17,56,3476.6428571428573,8,17
8,18,8 18,28,2954.6071428571427,8,18
8,19,8 19,21,2980.0,8,19
8,20,8 20,28,2989.3214285714284,8,20
8,21,8 21,31,2794.451612903226,8,21
8,22,8 22,28,3826.8928571428573,8,22
8,23,8 23,19,3550.4210526315787,8,23
8,24,8 24,20,2496.75,8,24
9,1,9 1,21,5481.761904761905,9,1
9,2,9 2,25,6123.24,9,2
9,3,9 3,22,5509.272727272727,9,3
9,4,9 4,23,4766.695652173913,9,4
9,5,9 5,12,4362.75,9,5
9,6,9 6,9,3764.0,9,6
9,7,9 7,4,3433.75,9,7
9,8,9 8,5,3601.6,9,8
NA,NA,9 9,NA,NA,9,9
NA,NA,9 10,NA,NA,9,10
9,11,9 11,9,4472.333333333333,9,11
9,12,9 12,21,5698.857142857143,9,12
9,13,9 13,22,3974.318181818182,9,13
9,14,9 14,22,3893.818181818182,9,14
9,15,9 15,29,5041.862068965517,9,15
9,16,9 16,28,5813.75,9,16
9,17,9 17,29,4757.724137931034,9,17
9,18,9 18,24,4339.5,9,18
9,19,9 19,28,5609.821428571428,9,19
9,20,9 20,36,6068.388888888889,9,20
9,21,9 21,24,5596.75,9,21
9,22,9 22,22,4668.590909090909,9,22
9,23,9 23,17,5015.64705882353,9,23
9,24,9 24,24,4393.0,9,24
10,1,10 1,21,4514.0,10,1
10,2,10 2,22,4286.318181818182,10,2
10,3,10 3,23,3189.521739130435,10,3
10,4,10 4,28,4480.964285714285,10,4
10,5,10 5,7,5168.0,10,5
10,6,10 6,2,2166.5,10,6
NA,NA,10 7,NA,NA,10,7
NA,NA,10 8,NA,NA,10,8
NA,NA,10 9,NA,NA,10,9
10,10,10 10,1,3459.0,10,10
10,11,10 11,8,3032.625,10,11
10,12,10 12,16,4411.625,10,12
10,13,10 13,14,3859.3571428571427,10,13
10,14,10 14,17,5133.941176470588,10,14
10,15,10 15,10,5063.6,10,15
10,16,10 16,6,3885.6666666666665,10,16
10,17,10 17,15,4313.466666666666,10,17
10,18,10 18,15,3697.4,10,18
10,19,10 19,14,3937.1428571428573,10,19
10,20,10 20,12,4072.75,10,20
10,21,10 21,15,3072.6,10,21
10,22,10 22,16,4516.5,10,22
10,23,10 23,15,3211.4666666666667,10,23
10,24,10 24,10,3424.0,10,24
11,1,11 1,35,2082.4857142857145,11,1
11,2,11 2,13,6421.7692307692305,11,2
11,3,11 3,21,4794.0,11,3
11,4,11 4,9,4622.222222222223,11,4
11,5,11 5,6,3310.1666666666665,11,5
11,6,11 6,10,2239.5,11,6
11,7,11 7,1,4717.0,11,7
NA,NA,11 8,NA,NA,11,8
NA,NA,11 9,NA,NA,11,9
11,10,11 10,8,5694.125,11,10
11,11,11 11,26,4698.692307692308,11,11
11,12,11 12,34,4687.617647058823,11,12
11,13,11 13,12,6330.25,11,13
11,14,11 14,14,5477.714285714285,11,14
11,15,11 15,13,5509.461538461538,11,15
11,16,11 16,22,4681.954545454545,11,16
11,17,11 17,18,4941.722222222223,11,17
11,18,11 18,14,4826.714285714285,11,18
11,19,11 19,10,12211.2,11,19
11,20,11 20,14,6703.642857142857,11,20
11,21,11 21,20,5691.25,11,21
11,22,11 22,22,4752.227272727273,11,22
11,23,11 23,12,4950.0,11,23
11,24,11 24,23,5065.695652173913,11,24
12,1,12 1,8,3948.25,12,1
12,2,12 2,9,4731.111111111111,12,2
12,3,12 3,15,5747.266666666666,12,3
12,4,12 4,10,4179.0,12,4
12,5,12 5,4,9656.75,12,5
12,6,12 6,7,2874.1428571428573,12,6
NA,NA,12 7,NA,NA,12,7
NA,NA,12 8,NA,NA,12,8
NA,NA,12 9,NA,NA,12,9
12,10,12 10,3,8958.666666666666,12,10
12,11,12 11,5,9972.4,12,11
12,12,12 12,8,7311.375,12,12
12,13,12 13,9,9126.111111111111,12,13
12,14,12 14,19,7616.1578947368425,12,14
12,15,12 15,9,5617.333333333333,12,15
12,16,12 16,11,6942.0,12,16
12,17,12 17,21,8860.52380952381,12,17
12,18,12 18,13,9866.076923076924,12,18
12,19,12 19,14,7412.642857142857,12,19
12,20,12 20,29,6038.6551724137935,12,20
